1;John Doe;30;teacher;4.5;3.9;3;2,5,7
2;Jane Smith;25;engineer;3.8;4.1;2;1,3
3;Alice Johnson;28;driver;4.2;3.7;4;1,2,6,8
4;Michael Brown;33;pilot;3.9;4.0;5;3,6,9,10,2
5;Emily Davis;27;dentist;4.1;3.8;3;1,2,3
6;David Wilson;35;actor;4.0;4.2;2;5,2
7;Linda Martinez;32;actor;3.9;3.7;4;4,6,5,1
8;Robert White;29;teacher;4.3;3.8;3;1,2,3
9;Sarah Taylor;31;teacher;4.0;4.1;5;8,5,6,3,1
10;James Anderson;34;pilot;4.2;3.9;2;1,2
11;Davidios Morgan;20;teacher;2.0;1.0;0;
12;Casey Taylor;28;pilot;3.7;1.7;5;6,8,13,10,15
13;Jamie Jones;27;dentist;4.4;1.3;5;8,3,11,1,7
14;Charlie Williams;26;engineer;3.4;3.5;0;0
15;Sam Jones;26;driver;2.8;4.4;3;3,5,2
16;Jordan Miller;35;engineer;3.0;2.0;4;1,13,4,14
17;Chris Moore;20;pilot;2.7;4.4;0;0
18;Charlie Williams;32;actor;3.1;2.9;1;14
19;Casey Wilson;20;dentist;3.1;2.7;0;0
20;Taylor Johnson;32;driver;4.1;2.8;4;12,7,20,10
21;Cameron Moore;28;pilot;2.4;2.1;2;7,10
22;Casey Moore;35;actor;3.9;1.8;2;13,15
23;Charlie Moore;24;teacher;3.4;1.7;5;10,3,25,18,22
24;Chris Wilson;27;teacher;4.4;3.6;3;7,14,20
25;Cameron Wilson;32;dentist;4.3;2.6;5;8,14,15,23,29
26;Chris Johnson;21;pilot;2.5;1.5;0;0
27;Jamie Moore;27;dentist;2.9;4.4;5;25,1,11,31,27
28;Jamie Moore;24;driver;2.2;1.1;0;0
29;Jordan Jones;31;engineer;3.9;3.7;2;27,16
30;Sam Wilson;26;driver;2.3;4.3;0;0
